C_d/delta,δ=-5.0°,δ=-4.0°,δ=-3.0°,δ=-2.0°,δ=-1.0°,δ=0.0°,δ=1.0°,δ=2.0°,δ=3.0°,δ=4.0°,δ=5.0°,δ=6.0°,δ=7.0°,δ=8.0°,δ=9.0°,δ=10.0°,δ=11.0°,δ=12.0°,δ=13.0°,δ=14.0°,δ=15.0°,δ=16.0°,δ=17.0°,δ=18.0°,δ=19.0°,δ=20.0°
α=-5.0°,0.014919417941363408,0.014709864268293701,0.014516529033202654,0.014339822949524053,0.01417859301145944,0.014033332575110352,0.013900908902979816,0.013782778701187099,0.01368131059305873,0.013594538078370048,0.013523725287055303,0.013468997853166732,0.013429650707255695,0.013406998307393,0.01340053513132933,0.013409195742987776,0.01343446496982266,0.013476501020066152,0.013533446052027847,0.013604261042886433,0.01368922291142405,0.013784732881973783,0.013882283600957203,0.013951153624318013,0.01415591448683993,0.014492478934942595
α=-4.0°,0.014413492499978229,0.014234014032769294,0.01406995472417981,0.01392046549298708,0.013786104630097646,0.01366831014752129,0.013563877437544027,0.01347451961435813,0.013399553090948216,0.013341000176223512,0.013296747949202804,0.013268588806503353,0.013256776664824292,0.013259131977531148,0.013277575747883312,0.013312460347341662,0.013361933501932533,0.013426975452048396,0.013508482718560887,0.013603925561414178,0.013711816597217975,0.01383088215121775,0.013956153301127773,0.014046784254978524,0.014263754004951733,0.014606754219331212
α=-3.0°,0.014005731577517064,0.013852681718991075,0.013715482884031505,0.013595174929873534,0.013489968287135654,0.013399487249044412,0.013321234811305972,0.013258500271433703,0.013210494554658402,0.01317706817373519,0.013160192353205471,0.013158132381643305,0.01317159888617914,0.013200940432618623,0.01324417867909571,0.013302864090905335,0.013378070370811708,0.013467751313173402,0.013571914264527396,0.013691613270602797,0.013825645831665564,0.013970447797450996,0.014121580654663284,0.014236156872658256,0.014464733090972815,0.014815880722185372
α=-2.0°,0.013689409875471795,0.013564711895128256,0.013454688851000299,0.013360779160296463,0.013282171186397605,0.01321871799877829,0.013168444124345062,0.013131613911180144,0.013110621478368807,0.013103557861771706,0.013112332381048006,0.013137416901699412,0.013176086191308889,0.01322995147720543,0.013299694801418314,0.01338320830905379,0.013481376711087676,0.013596173370951337,0.013725997291010658,0.013869844495832728,0.014027121045434101,0.014197464055165398,0.014375635722434542,0.014516930281090454,0.0147589587156605,0.015119283354050918
α=-1.0°,0.013462697435821224,0.013365684590672564,0.013282940731235237,0.013215226124988351,0.013162964881717915,0.013126061300395732,0.013101616950629598,0.013092261749237654,0.013095854122941033,0.013116392648834189,0.013151441274902127,0.013201332552943887,0.013267042066014452,0.013345983806769861,0.013439772444964266,0.013549595714432075,0.013673200821372581,0.013810960001743939,0.013965274778651138,0.014135018884064949,0.014317626594626532,0.014511362815053214,0.014713623485767678,0.014880519257331299,0.01514392288702228,0.015516298155482762
α=0.0°,0.013326303674756854,0.013254731505182152,0.013197551676439165,0.013156746247183737,0.013132773528710272,0.013122398108434024,0.013123125039675118,0.013139299425008612,0.013168938776559586,0.013214448631192678,0.013276622894980866,0.01335201820421953,0.013441926582439905,0.013547701699151963,0.01366678045453747,0.013799759272994143,0.013949066840962839,0.014114106001972604,0.014292227869530105,0.014484646083580327,0.01469203478940719,0.014911873519476305,0.015140925901421826,0.01533202900830202,0.015621246271074947,0.016005510838809595
α=1.0°,0.01327622120947547,0.013232463818274764,0.013202569050515063,0.013186918408060166,0.013188727774618943,0.013204686477812894,0.013232708538330617,0.013273235929899775,0.013329966955128685,0.013401962425885379,0.013488048971913604,0.013590454041251,0.013705958620225885,0.013834936171912912,0.013980296162038762,0.01413981875218795,0.014313437615660243,0.014501888910805904,0.014706734677285744,0.014925769683003723,0.015157086776843975,0.015400272826223268,0.015652157803708436,0.015866460057096774,0.016190736020593243,0.016591150017278646
α=2.0°,0.013316458184190928,0.013300057678405542,0.013296796390786214,0.013306520861941035,0.013332896870875528,0.01337581821869182,0.013429412928216266,0.01349724831508653,0.013578690843720743,0.013677736634489826,0.013790533690004924,0.013916460064739863,0.01405852108848575,0.014214659395749125,0.014383382664991291,0.014567531886108733,0.014768503547563205,0.014983719168841707,0.015211992104473354,0.015454174553060196,0.015711037035314884,0.015979985269328548,0.0162510956399402,0.016493179344576527,0.01685734643125263,0.017274687283606895
α=3.0°,0.01345051389046665,0.013458180773799894,0.013480447175653495,0.013517835510411044,0.01357079688686452,0.013640089793369777,0.013718154976022424,0.01381093204100939,0.013921196060162237,0.014044397798667395,0.014183253391487013,0.01433711276686409,0.014503014042256736,0.01468332794425514,0.014880011095684388,0.015091353409986769,0.01531582320004408,0.015554981458028937,0.015810576557782348,0.016080054432145635,0.016361468344417176,0.01665342918234168,0.016928008408524667,0.017225703935585143,0.017627900704903776,0.01806660678645711
α=4.0°,0.0136780172052468,0.013712569611438139,0.013761875104430568,0.013824803222790514,0.013902440572872283,0.013997761868789252,0.014103588801537193,0.014222646407965847,0.014357397918877952,0.014509449884625894,0.014673534634840823,0.014851171372932043,0.015045411968316087,0.015252832587406909,0.01547380673224111,0.01570995379029041,0.015962786997770827,0.016230069113674896,0.016509536468671388,0.01680259785389218,0.017109076575199444,0.01742703172962596,0.017705337694041756,0.018080950102222194,0.018514388767787875,0.018977364036195377
α=5.0°,0.014008970548517229,0.014068266807577775,0.014143105185319034,0.014231019757948465,0.014335955265478513,0.014458804095392361,0.014588707303368528,0.014736110006655357,0.014899021602769116,0.015075076331640314,0.015267265253735215,0.015473856478380371,0.01569184793735552,0.015924765831107985,0.01617505246265215,0.016439622192355043,0.016716593620263558,0.017007909099509996,0.017315379424408212,0.0176370715641069,0.01797101289943286,0.018278659750151617,0.018629179371724633,0.019059353327008643,0.019523424834837853,0.020026472261100596
α=6.0°,0.014447420888366388,0.014531012109016559,0.014634531571570544,0.014750938868942458,0.01487984097014185,0.01502781447936448,0.015187436383990859,0.015359961008370141,0.015549462249533167,0.015756302639969945,0.01597399205483818,0.01620479449983956,0.01645307029232851,0.016716223974105528,0.01699116210333363,0.017280517303637097,0.01758725153523019,0.017908818742583228,0.018243417929412163,0.01858959907012465,0.01891883615208848,0.01927382802781351,0.019712155900266162,0.02018661189942947,0.020696831208090793,0.02124303314239392
α=7.0°,0.01500976285356899,0.015119172207016657,0.015246359763718813,0.015388145656846526,0.015545052890251217,0.015721404539905417,0.015905450108528254,0.016107612227988566,0.016326599988090093,0.01655812935359934,0.01680522940017269,0.017067404181570447,0.017341967259713046,0.017630277578995053,0.017935965721543285,0.018257113958792048,0.018591379664448272,0.01893863610528846,0.019299540295591024,0.019636880420359014,0.02002759442234245,0.020485092120249626,0.02097444249002325,0.021500984295643177,0.02206159094262914,0.02267207783418336
