C_m/delta,δ=-5.0°,δ=-4.0°,δ=-3.0°,δ=-2.0°,δ=-1.0°,δ=0.0°,δ=1.0°,δ=2.0°,δ=3.0°,δ=4.0°,δ=5.0°,δ=6.0°,δ=7.0°,δ=8.0°,δ=9.0°,δ=10.0°,δ=11.0°,δ=12.0°,δ=13.0°,δ=14.0°,δ=15.0°,δ=16.0°,δ=17.0°,δ=18.0°,δ=19.0°,δ=20.0°
α=-5.0°,0.06312185626480968,0.055977502121742025,0.048584562221887014,0.04098011313183749,0.03319816627779431,0.025264348156147004,0.01715935560293922,0.008980950538923152,0.0007754793424667922,-0.007436369867912749,-0.015632033389815683,-0.023787536986677727,-0.03187752650318305,-0.039874746684380985,-0.04774938783696795,-0.05546640066918874,-0.06298320584193992,-0.0702477386367344,-0.07719329853053629,-0.08373017754026268,-0.08973237818037944,-0.09501289952661315,-0.09922671833256502,-0.10137388698848841,-0.10405002864372859,-0.10712456055806796
α=-4.0°,0.06574642354384626,0.05838525166781659,0.05079737367918239,0.04301866860796936,0.03507856072062955,0.027000935330808086,0.01878232438146335,0.010501542480402366,0.002204189034777807,-0.006088843668417392,-0.014356437855802444,-0.022574619790908558,-0.03071891425579199,-0.03876377485442576,-0.046679796349952146,-0.05443297425446409,-0.061983406639488474,-0.06928160903867926,-0.07626480784780103,-0.08285147159353756,-0.08892661291699115,-0.09432615033150901,-0.09878818140645823,-0.10125572627340285,-0.10405688702211652,-0.10723448375137863
α=-3.0°,0.0680026640475034,0.06046704416821681,0.05272050242510775,0.04479710526160333,0.03672642227640191,0.02853241445220388,0.02022688134326326,0.01186953898459664,0.003505488782739427,-0.004845477347618029,-0.013161459025547807,-0.021420003039593596,-0.029597615527383034,-0.03766852523935763,-0.04560549529568408,-0.053375351148862035,-0.06093934412940439,-0.06825153294205588,-0.07525352863825067,-0.08186926957844691,-0.08799699495381448,-0.09349152316437247,-0.0981321355035649,-0.10090832256525867,-0.10381560422053829,-0.1070693671166815
α=-2.0°,0.06995099829624414,0.062270631032093286,0.054395669785698604,0.04635795255546412,0.03818450968932025,0.02989901874099529,0.02152973177884269,0.013118352461854815,0.0047098078107413515,-0.0036766791227762947,-0.012019619535125706,-0.020296855001794154,-0.02848647480775932,-0.03656333832267382,-0.044500154609344506,-0.05226618393153796,-0.05982444274847926,-0.06713009850293908,-0.0741297489802196,-0.08075296156217587,-0.08690729685323022,-0.0924654869785898,-0.09723969958226285,-0.10028608864538349,-0.10329324335720323,-0.10659397629469022
α=-1.0°,0.07163579229207448,0.06384004959894801,0.055862542974693015,0.04773471916173182,0.03948331531617702,0.03113096725545105,0.02272112971372443,0.014278194641629478,0.005846383138903323,-0.002553663703001698,-0.010902372560622304,-0.019178317052031484,-0.02735869633131907,-0.03542085543888556,-0.043338102757404656,-0.05107922508871692,-0.05861021916419179,-0.06588905735476619,-0.07286405845285644,-0.07947166197601115,-0.08562757927909118,-0.09121648835720175,-0.09607411216640352,-0.099310077085257,-0.10242033987545812,-0.10578708199172833
α=0.0°,0.07309055345219802,0.06520751607483484,0.057153977633954196,0.04895966843660628,0.04065254499221475,0.03225540588786529,0.02382685889757956,0.015374551879562612,0.006941847196496478,-0.0014509268136972022,-0.009783873917755554,-0.018037226181248485,-0.026188711305830358,-0.03421440000760845,-0.04209049623808844,-0.04978720511498033,-0.05726895361281387,-0.0644968562460424,-0.07142418808398959,-0.07799054877095608,-0.08411733342177714,-0.08970188634338074,-0.09459809536568947,-0.09793678689702788,-0.10115588399737312,-0.10458722112853858
α=1.0°,0.07435020721951524,0.06640210779753793,0.05829545110740929,0.05005978546134003,0.04172015065557344,0.03330031488518961,0.02487490095676682,0.016433920716477604,0.008022253194405016,-0.00034139690394715226,-0.00863835924815551,-0.016846540425759574,-0.024946624310340205,-0.03291607124137087,-0.04072810276062815,-0.048355808645366156,-0.05576565784843732,-0.06291971896543837,-0.06977173189344146,-0.0762670917045077,-0.08233237119485037,-0.08787087220039543,-0.09274149157028003,-0.09608675379305073,-0.09944492581495742,-0.10294435922924676
α=2.0°,0.07543973188209326,0.06745151956641059,0.059314903798901975,0.051059652681438444,0.0427107909245231,0.03429110219728552,0.025891023017927235,0.01748439152825259,0.009114757538912478,0.0008029840287669887,-0.007434366442049172,-0.015577203115703727,-0.023602541405457946,-0.031490038078869166,-0.03921640239291574,-0.04675142239967295,-0.0540617920777175,-0.061113085888233366,-0.06786205743045713,-0.07425426108983674,-0.08021941725191643,-0.08566789659098271,-0.09036891419821658,-0.09370661149461626,-0.09722401926544033,-0.10078719321611548
α=3.0°,0.07638374483360012,0.06838129746086556,0.06023914382297388,0.05198736091421616,0.04365180795730989,0.035255668747488034,0.02690355946516457,0.018553753933071713,0.010251272668720788,0.0020127380352148983,-0.006141716638577673,-0.01419230102838329,-0.022120432568525045,-0.029903161043431138,-0.03751447618478246,-0.044927876829130665,-0.05211292579097452,-0.05903241831401657,-0.0656420082894683,-0.07189142014614755,-0.0777128454460636,-0.08301687709982797,-0.08731167128101418,-0.09075562083551128,-0.0944074602936663,-0.0980637587616111
α=4.0°,0.07721031530173407,0.06921648573197127,0.06109403937795427,0.05287089770854753,0.044572091323847624,0.03622266287748642,0.027943408087586472,0.01967550204039334,0.011462985608572562,0.0033256600118438022,-0.004721136462195394,-0.012656652192624285,-0.02045752040808865,-0.028105229379908236,-0.03557500826006229,-0.04283798776981983,-0.04986042226208133,-0.05660858144983018,-0.06304076767330438,-0.06910258380401609,-0.07472413991184752,-0.07980218793617817,-0.08356708258789801,-0.08721463580732682,-0.09094841126244789,-0.09469814366233507
